frame_id,variety,hits,notes
F01,US,1109,"2026-09-22; Chart, no section selected"
F01,GB,440,"2026-09-22; Chart, no section selected"
F01,IE,134,"2026-09-22; Chart, no section selected"
F01,AU,211,"2026-09-22; Chart, no section selected"
F01,ZA,62,"2026-09-22; Chart, no section selected"
F02,US,192,"2026-09-22; Chart, no section selected"
F02,GB,69,"2026-09-22; Chart, no section selected"
F02,IE,22,"2026-09-22; Chart, no section selected"
F02,AU,23,"2026-09-22; Chart, no section selected"
F02,ZA,10,"2026-09-22; Chart, no section selected"
F03,US,4052,"2026-09-22; Chart, no section selected"
F03,GB,1977,"2026-09-22; Chart, no section selected"
F03,IE,503,"2026-09-22; Chart, no section selected"
F03,AU,810,"2026-09-22; Chart, no section selected"
F03,ZA,202,"2026-09-22; Chart, no section selected"
F04,US,2542,"2026-09-22; Chart, no section selected"
F04,GB,2613,"2026-09-22; Chart, no section selected"
F04,IE,520,"2026-09-22; Chart, no section selected"
F04,AU,973,"2026-09-22; Chart, no section selected"
F04,ZA,237,"2026-09-22; Chart, no section selected"
F05,US,198,"2026-09-22; Chart, no section selected"
F05,GB,143,"2026-09-22; Chart, no section selected"
F05,IE,15,"2026-09-22; Chart, no section selected"
F05,AU,30,"2026-09-22; Chart, no section selected"
F05,ZA,9,"2026-09-22; Chart, no section selected"
F07,US,4379,"2026-09-22; Chart, no section selected"
F07,GB,4735,"2026-09-22; Chart, no section selected"
F07,IE,817,"2026-09-22; Chart, no section selected"
F07,AU,1575,"2026-09-22; Chart, no section selected"
F07,ZA,271,"2026-09-22; Chart, no section selected"
F08,US,747,"2026-09-23; Chart, no section selected"
F08,GB,882,"2026-09-23; Chart, no section selected"
F08,IE,183,"2026-09-23; Chart, no section selected"
F08,AU,294,"2026-09-23; Chart, no section selected"
F08,ZA,59,"2026-09-23; Chart, no section selected"
F09,US,3201,"2026-09-23; Chart, no section selected"
F09,GB,2654,"2026-09-23; Chart, no section selected"
F09,IE,385,"2026-09-23; Chart, no section selected"
F09,AU,805,"2026-09-23; Chart, no section selected"
F09,ZA,161,"2026-09-23; Chart, no section selected"
F10,US,9246,"2026-09-23; Chart, no section selected"
F10,GB,6828,"2026-09-23; Chart, no section selected"
F10,IE,1370,"2026-09-23; Chart, no section selected"
F10,AU,2648,"2026-09-23; Chart, no section selected"
F10,ZA,763,"2026-09-23; Chart, no section selected"
F11,US,229,"2026-09-23; Chart, no section selected"
F11,GB,150,"2026-09-23; Chart, no section selected"
F11,IE,41,"2026-09-23; Chart, no section selected"
F11,AU,52,"2026-09-23; Chart, no section selected"
F11,ZA,7,"2026-09-23; Chart, no section selected"
F12,US,86,"2026-09-23; Chart, no section selected"
F12,GB,58,"2026-09-23; Chart, no section selected"
F12,IE,17,"2026-09-23; Chart, no section selected"
F12,AU,30,"2026-09-23; Chart, no section selected"
F12,ZA,1,"2026-09-23; Chart, no section selected"
F13,US,24330,"2026-09-23; Chart, no section selected"
F13,GB,19265,"2026-09-23; Chart, no section selected"
F13,IE,3958,"2026-09-23; Chart, no section selected"
F13,AU,7492,"2026-09-23; Chart, no section selected"
F13,ZA,1558,"2026-09-23; Chart, no section selected"
F14,US,12073,"2026-09-23; Chart, no section selected"
F14,GB,7642,"2026-09-23; Chart, no section selected"
F14,IE,1449,"2026-09-23; Chart, no section selected"
F14,AU,2965,"2026-09-23; Chart, no section selected"
F14,ZA,614,"2026-09-23; Chart, no section selected"
F15,US,696,"2026-09-23; Chart, no section selected"
F15,GB,354,"2026-09-23; Chart, no section selected"
F15,IE,53,"2026-09-23; Chart, no section selected"
F15,AU,136,"2026-09-23; Chart, no section selected"
F15,ZA,37,"2026-09-23; Chart, no section selected"
