frame_id,variety,section,hits,notes
F01,US,general,583,"2026-09-22; Chart, section General; general + blog = 1109 all-sections"
F01,US,blog,526,"2026-09-22; Chart, section Blog"
F01,GB,general,268,"2026-09-22; Chart, section General; general + blog = 440 all-sections"
F01,GB,blog,172,"2026-09-22; Chart, section Blog"
F01,IE,general,102,"2026-09-22; Chart, section General; general + blog = 134 all-sections"
F01,IE,blog,32,"2026-09-22; Chart, section Blog"
F01,AU,general,129,"2026-09-22; Chart, section General; general + blog = 211 all-sections"
F01,AU,blog,82,"2026-09-22; Chart, section Blog"
F01,ZA,general,38,"2026-09-22; Chart, section General; general + blog = 62 all-sections"
F01,ZA,blog,24,"2026-09-22; Chart, section Blog"
F02,US,general,115,"2026-09-22; Chart, section General; general + blog = 192 all-sections"
F02,US,blog,77,"2026-09-22; Chart, section Blog"
F02,GB,general,40,"2026-09-22; Chart, section General; general + blog = 69 all-sections"
F02,GB,blog,29,"2026-09-22; Chart, section Blog"
F02,IE,general,18,"2026-09-22; Chart, section General; general + blog = 22 all-sections"
F02,IE,blog,4,"2026-09-22; Chart, section Blog"
F02,AU,general,14,"2026-09-22; Chart, section General; general + blog = 23 all-sections"
F02,AU,blog,9,"2026-09-22; Chart, section Blog"
F02,ZA,general,5,"2026-09-22; Chart, section General; general + blog = 10 all-sections"
F02,ZA,blog,5,"2026-09-22; Chart, section Blog"
F04,US,general,1488,"2026-09-22; Chart, section General; general + blog = 2542 all-sections"
F04,US,blog,1054,"2026-09-22; Chart, section Blog"
F04,GB,general,1587,"2026-09-22; Chart, section General; general + blog = 2613 all-sections"
F04,GB,blog,1026,"2026-09-22; Chart, section Blog"
F04,IE,general,412,"2026-09-22; Chart, section General; general + blog = 520 all-sections"
F04,IE,blog,108,"2026-09-22; Chart, section Blog"
F04,AU,general,666,"2026-09-22; Chart, section General; general + blog = 973 all-sections"
F04,AU,blog,307,"2026-09-22; Chart, section Blog"
F04,ZA,general,147,"2026-09-22; Chart, section General; general + blog = 237 all-sections"
F04,ZA,blog,90,"2026-09-22; Chart, section Blog"
F05,US,general,106,"2026-09-22; Chart, section General; general + blog = 198 all-sections"
F05,US,blog,92,"2026-09-22; Chart, section Blog"
F05,GB,general,90,"2026-09-22; Chart, section General; general + blog = 143 all-sections"
F05,GB,blog,53,"2026-09-22; Chart, section Blog"
F05,IE,general,10,"2026-09-22; Chart, section General; general + blog = 15 all-sections"
F05,IE,blog,5,"2026-09-22; Chart, section Blog"
F05,AU,general,20,"2026-09-22; Chart, section General; general + blog = 30 all-sections"
F05,AU,blog,10,"2026-09-22; Chart, section Blog"
F05,ZA,general,4,"2026-09-22; Chart, section General; general + blog = 9 all-sections"
F05,ZA,blog,5,"2026-09-22; Chart, section Blog"
